Id Estado;Estado;Material;Tipo material;Texto breve de material;Centro área pl.nec.;Almacén;Ubicación;Caract.planif.nec.;Punto de pedido;Cálculo de tamaño de lote;Stock alm.máx.;Libre utilización;Libre Utilización Área;Stock de seguridad;Stock en Curso;Cantidad Pendiente en SolPed;Grupo de compras;Denominación GrpComp;Valor total;Nombre Fabricante;Numero Pieza de Fabricante;Rubro;SubRubro;Embalar;Peso bruto;Peso neto;Unidad de peso;Volumen;Plazo entrega prev.;Valor libre utilización;Moneda valor libre utilización;Menor a PP;Stock nulo;Mayor a PP;Mayor a Stock Maximo;Menor a PP area;Stock nulo area;Mayor a PP area;Mayor a Stock Maximo area
4;04-MAYOR A STOCK MAXIMO;1003205;ZSTO;SILICAGEL AZUL X KG SILICONA;U365;0365;;V1;3;HB;5;17;0;0;0;0;C17;INSUMOS A;0;;MP000040;FILTROS;IS VENTEC 6TK/2TB/AY/TECEL/11,;6-PESADO Y FRAGIL;0;0;KG;0;15;650780,05;;;;;1;;;;
3;03-MAYOR A PUNTO DE PEDIDO;1003214;ZSTO;FILTRO A A CABINA;U365;0365;;V1;1;HB;2;1;0;0;0;0;F10;FILTRO HVAC;151774,06;CATERPILLA;4405316;FILTROS;CAT 815 K;9-FRAGIL;1,26;0;KG;12288;15;151774,06;;;;1;;;;;
2;02-MENOR A PUNTO DE PEDIDO;1003215;ZSTO;FILTRO DE AIRE PRIMARIO;U365;0365;;V1;2;HB;2;1;0;0;0;0;F04;FILTRO AIRE;358179,25;CATERPILLA //;3862099 // 5771435;FILTROS;CAT 815 K;9-FRAGIL;3,3;0;KG;45600;15;358179,25;;1;;;;;;;
2;02-MENOR A PUNTO DE PEDIDO;1003216;ZSTO;FILTRO DE AIRE SECUNDARIO;U365;0365;;V1;2;HB;2;1;0;0;0;0;F04;FILTRO AIRE;136629,35;CATERPILLA;3318108;FILTROS;CAT 815 K;9-FRAGIL;0,92;0;KG;14739;15;136629,35;;1;;;;;;;
1;01-STOCK NULO;1003219;ZSTO;FILTRO VENTILACION DE CARTER;U365;0365;;V1;1;HB;2;0;0;0;0;0;F04;FILTRO AIRE;0;CATERPILLA;2735711;FILTROS;CAT 815 K;7-PESADO;0,74;0;KG;1980;15;0;;;1;;;;;;
3;03-MAYOR A PUNTO DE PEDIDO;1003221;ZSTO;FILTRO DE AIRE SECUNDARIO;U365;0365;;V1;1;HB;2;2;0;0;0;0;F04;FILTRO AIRE;0;CNH;5801440583;FILTROS;IVECO TRAKKER 410 T 44 EUROTRO;9-FRAGIL;0,81;0;KG;14416;15;81635,4;;;;1;;;;;
2;02-MENOR A PUNTO DE PEDIDO;1003237;ZSTO;FILTRO DE COMBUSTIBLE;U365;0365;;V1;6;HB;9;5;0;0;0;0;F06;FILTRO COMBUSTIBLE;294698,5;CATERPILLA;5000480;FILTROS;CAT 140K;7-PESADO;0,46;0;KG;2904;35;294698,51;;1;;;;;;;
3;03-MAYOR A PUNTO DE PEDIDO;1003238;ZSTO;FILTRO TRAMPA DE AGUA;U365;0365;;V1;4;HB;6;6;0;0;0;0;F13;FILTRO TRAMPA DE A;650448,96;CATERPILLA //;4367077 // SN40863;FILTROS;CAT 140K;8-VARIOS;0,54;0;KG;3456;20;650448,96;;;;1;;;;;
2;02-MENOR A PUNTO DE PEDIDO;1003241;ZSTO;MANN CF1651;U365;0365;;V1;4;HB;6;3;0;0;0;0;F14;GENERICOS FILTROS;133937,61;MANN //;CF1651 // P750003;FILTROS;VOLVO 330;9-FRAGIL;0,81;0;KG;15606;15;133937,61;;1;;;;;;;
2;02-MENOR A PUNTO DE PEDIDO;1003246;ZSTO;FILTRO DE TANQUE HIDRAULICO;U365;0365;;V1;6;HB;9;3;0;0;0;0;F07;FILTRO FLUIDO HIDR;1341730,2;REMOLQUES // HIFI FILTE;14896990 // SH 93214;FILTROS;VOLCADORA OMBU;8-VARIOS;0,199;0;KG;807,765;15;1341730,2;;1;;;;;;;
